Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Salisbury, Melinda",Hold Back the Tide,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator
"Salvatore, Steven",Can't Take That Away,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
San Francisco Writers' Grotto,642 Things to Write About,Banned in Classrooms,,,,Ohio,Hudson City Schools,September 2021,Administrator
"Sanchez, Alex",Bait,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Sanchez, Alex",Getting It,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sanchez, Alex",Rainbow Boys (Rainbow Trilogy Series),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Sanchez, Alex",Rainbow Boys (Rainbow Trilogy Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sanchez, Alex",Rainbow High (Rainbow Trilogy Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sanchez, Alex",Rainbow Road (Rainbow Trilogy Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sanchez, Alex",So Hard to Say,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sanchez, Alex",You Brought Me the Ocean,Banned Pending Investigation,,"Maroh, Julie",,Tennessee,Collierville Schools,February 2022,Administrator
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator
"Sanchez, Jasper",The (Un)Popular Vote,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Sanders, Rob",Peaceful Fights for Equal Rights,Banned in Classrooms,,"Schorr, Jared Andrew",,Pennsylvania,Central York School District,August 2021,Administrator
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned Pending Investigation,,"Salerno, Steven",,Florida,Duval County Public Schools,January 2022,Administrator
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,,,,Idaho,Bonneville Joint School District No 93,April 2022,Formal Challenge
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Classrooms,,"Salerno, Steven",,Pennsylvania,Central York School District,August 2021,Administrator
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned Pending Investigation,,"Salerno, Steven",,Texas,North East Independent School District,December 2021,Administrator
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge
"Sanders, Rob",Stonewall: A Building. An Uprising. A Revolution.,Banned Pending Investigation,,"Christoph, Jamey",,Florida,Duval County Public Schools,January 2022,Administrator
"Sanford, Doris",Something Must Be Wrong with Me: A Boy's Book about Sexual Abuse,Banned Pending Investigation,,"Evans, Graci",,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Sanna, Emily",Gay Believers: Homosexuality and Religion,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Santana, Sol",Just Ash,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Santoni, V. S.",I'm A Gay Wizard,Banned Pending Investigation,,,,Virginia,Henrico County Public Schools,November 2021,Administrator
" ,Sapphire",Push,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Sass, A. J.",Ana on the Edge,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Satrapi, Marjane",Persepolis: The Story of a Childhood,Banned Pending Investigation,,,,Pennsylvania,Franklin Regional School District,March 2022,Administrator
"Satrapi, Marjane",Persepolis: The Story of a Childhood,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator
"Savage, Dan","It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Banned Pending Investigation,"Miller, Terry",,,Tennessee,Collierville Schools,February 2022,Administrator
"Savage, Dan","It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Banned Pending Investigation,"Miller, Terry",,,Texas,Klein Independent School District,December 2021,Administrator
"Scanlon, Liz Garton",All the World,Banned in Classrooms,,"Frazee, Marla",,Pennsylvania,Central York School District,August 2021,Administrator
"Scelsa, Kate",Fans of the Impossible Life,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Schaeffer, Teresa",The Questions Within (Cutting Edge Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Scheeres, Julia",Jesus Land: A Memoir,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
"Scheeres, Julia",Jesus Land: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Schiffer, Miriam B.",Stella Brings the Family,Banned in Libraries and Classrooms,,"Clifton-Brown, Holly",,Florida,Broward County Public Schools,June 2022,Administrator
"Schiffer, Miriam B.",Stella Brings the Family,Banned Pending Investigation,,"Clifton-Brown, Holly",,Florida,Duval County Public Schools,January 2022,Administrator
"Schlissel, Lillian",Black Frontiers: A History of African American Heroes in the Old West,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Schmatz, Pat",Lizard Radio,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Schmidt, Tiffany",Get a Clue (Bookish Boyfriends Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Scholinski, Daphne",The Last Time I Wore a Dress,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Schrefer, Eliot",The Darkness Outside Us,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Schusterman, Michelle",Spotlight on Coding Club! (Girls Who Code Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Schwab, V. E.",The Invisible Life of Addie LaRue,Banned in Libraries,,,,Georgia,Cherokee County School District,January 2022,Formal Challenge
"Schwabach, Karen",The Hope Chest,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator
"Schwartz, Alvin",Scary Stories to Tell in the Dark,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Schwartz, Heather E.",Locked Up for Freedom: Civil Rights Protesters at the Leesburg Stockade,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Schwenke, Chloe",SELF-ish: A Transgender Awakening,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Scott, Ann Herbert",On Mother's Lap,Banned Pending Investigation,,"Coalson, Glo",,Florida,Duval County Public Schools,January 2022,Administrator
"Scott, Elizabeth",Living Dead Girl,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
"Scott, Elizabeth",Living Dead Girl,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Scott, Elizabeth",Living Dead Girl,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Scott, Elizabeth",Living Dead Girl,Banned Pending Investigation,,,,Missouri,Rockwood School District,March 2022,Formal Challenge
"Seabold, Alice",Lucky,Banned in Libraries and Classrooms,,,,Virginia,Virginia Beach City Public Schools,May 2022,Formal Challenge
"Seba, Jaime A.",Coming Out: Telling Family and Friends,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Seba, Jaime A.",Feeling Wrong in Your Own Body: Understanding What It Means to Be Transgender,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Seba, Jaime A.",Gay and Lesbian Role Models,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Seba, Jaime A.","Gay Issues and Politics: Marriage, the Military, & Work Place Discrimination",Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator
"Seba, Jaime A.","Gay Issues and Politics: Marriage, the Military, & Work Place Discrimination",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Seba, Jaime A.","Gay People of Color: Facing Prejudices, Forging Identities",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Seba, Jaime A.","Gays and Mental Health: Fighting Depression, Saying No to Suicide",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Seba, Jaime A.","Homosexuality Around the World: Safe Havens, Cultural Challenges",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Seba, Jaime A.",The LGBT Community,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Sebastian, Laura",Ember Queen (Ash Princess Trilogy Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Sebold, Alice",Lucky,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Sebold, Alice",Lucky,Banned Pending Investigation,,,,Florida,Clay County District Schools,June 2022,Administrator
"Sebold, Alice",Lucky,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator
"Sebold, Alice",Lucky,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Sebold, Alice",Lucky,Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge
"Sebold, Alice",The Lovely Bones,Banned in Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Seeger, Pete",The Deaf Musicians,Banned in Classrooms,"Jacobs, Paul DuBois","Christie, R. Gregory",,Pennsylvania,Central York School District,August 2021,Administrator
"Sehgal, Surishtha",Festival of Colors,Banned Pending Investigation,"Sehgal, Kabir","Harrison, Vashti",,Florida,Duval County Public Schools,January 2022,Administrator
"Self, Jeffery","A Very, Very Bad Thing",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Selzer, Adam",Just Kill Me,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sepetys, Ruta",Between Shades of Gray,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Sepetys, Ruta",Out of the Easy,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Seuss, Dr.",Ven a Mi Casa,Banned in Classrooms,,"Kath, Katie","Lázaro, Georgina",Pennsylvania,Central York School District,August 2021,Administrator
"Shantz-Hilkes, Chloe",My Girlfriend's Pregnant!: A Teen’s Guide to Becoming a Dad,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sharenow, Robert",The Berlin Boxing Club,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Sharpe, Tess",Far from You,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Sharpe, Tess",Far from You,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sharpe, Tess",The Girls I've Been,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Shaw, Susan",Safe,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Shaw, Tucker",The Hookup Artist,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Shepard, Sara",Flawless (Pretty Little Liars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Shepard, Sara",Influence,Banned Pending Investigation,"Buckingham, Lilia",,,Tennessee,Collierville Schools,February 2022,Administrator
"Sherman, Jill",25 Women Who Fought Back,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Sherman, Jill",25 Women Who Thought of It First,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Sherrard, Brent R.",Final Takedown,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Shetterly, Margot Lee",Hidden Figures: The True Story of Four Black Women and the Space Race,Banned in Classrooms,"Conkling, Winifred","Freeman, Laura",,Pennsylvania,Central York School District,August 2021,Administrator
"Shusterman, Neal",Game Changer,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator
"Sibson, Laura",Edie in Between,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Sidney II, Ronnie",Nelson Beats The Odds,Banned in Classrooms,,"Van Wagoner, Traci",,Pennsylvania,Central York School District,August 2021,Administrator
"Sidney II, Ronnie",Tameka's New Dress,Banned in Classrooms,,"Van Wagoner, Traci",,Pennsylvania,Central York School District,August 2021,Administrator
"Siegert, Mia",Somebody Told Me,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Silvera, Adam",History Is All You Left Me,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Silvera, Adam",History Is All You Left Me,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Silvera, Adam",Infinity Reaper (Infinity Cycle Series),Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge
"Silvera, Adam",Infinity Son (Infinity Cycle Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Silvera, Adam",Infinity Son (Infinity Cycle Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Silvera, Adam",More Happy Than Not,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Silvera, Adam",More Happy Than Not,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator
"Silvera, Adam",More Happy Than Not,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
"Silvera, Adam",More Happy Than Not,Banned in Libraries,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge
"Silvera, Adam",More Happy Than Not,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Silvera, Adam",More Happy Than Not,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Silvera, Adam",More Happy Than Not,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Silvera, Adam",More Happy Than Not,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Silvera, Adam",They Both Die at the End,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Silvera, Adam",They Both Die at the End,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Silvera, Adam",They Both Die at the End,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Silverberg, Cory","Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Banned Pending Investigation,,"Smyth, Fiona",,Florida,Walton County School District,April 2022,Administrator
"Silverberg, Cory","Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Banned in Libraries and Classrooms,,"Smyth, Fiona",,Texas,Frisco Independent School District,May 2022,Administrator
"Silverman, Erica",Jack (Not Jackie),Banned in Classrooms,,"Hatam, Holly",,Pennsylvania,Central York School District,August 2021,Administrator
"Sim, Tara",Chainbreaker (Timekeeper Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Sim, Tara",Firestarter (Timekeeper Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Sim, Tara",Firestarter (Timekeeper Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Simons, Rae","Gender Danger: Survivors of Rape, Human Trafficking, and Honor Killings",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sindu, S. J.",Marriage of a Thousand Lies,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Singleton, Glenn E.",Courageous Conversations About Race: A Field Guide for Achieving Equity in Schools and Beyond,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Skrutskie, Emily",Bonds of Brass,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Skrutskie, Emily",The Edge of the Abyss (The Abyss Surrounds Us Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Slade, Suzanne",Climbing Lincoln's Steps: The African American Journey,Banned Pending Investigation,,"Bootman, Colin",,Florida,Duval County Public Schools,January 2022,Administrator
"Slade, Suzanne",Exquisite: The Poetry and Life of Gwendolyn Brooks,Banned in Classrooms,,"Cabrera, Cozbi A.",,Pennsylvania,Central York School District,August 2021,Administrator
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned in Libraries and Classrooms,,,,Wisconsin,Oconomowoc Area School District,May 2022,Formal Challenge
"Sleeter, Christine E.","Transformative Ethnic Studies in Schools: Curriculum, Pedagogy, and Research",Banned in Classrooms,"Zavala, Miguel",,,Pennsylvania,Central York School District,August 2021,Administrator
"Sloan, Holly Goldberg",To Night Owl from Dogfish,Banned Pending Investigation,"Wolitzer, Meg",,,Florida,Duval County Public Schools,January 2022,Administrator
"Sloan, Holly Goldberg",To Night Owl from Dogfish,Banned in Classrooms,"Wolitzer, Meg",,,North Carolina,Wilkes County School District,June 2022,Administrator
"Smedley, Zack",Deposing Nathan,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Smedley, Zack",Tonight We Rule the World,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Smith, Amber",Something Like Gravity,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Smith, Amber",The Last to Let Go,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Smith, Amber",The Last to Let Go,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Smith, Amber",The Way I Used to Be,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Smith, Andrew",Grasshopper Jungle (Grasshopper Jungle Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Smith, Andrew",Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Smith, Andrew",Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Smith, Andrew",Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Smith, Andrew",Stick,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Smith, Heather",Chicken Girl,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Smith, Heather",Chicken Girl,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator
"Smith, Mychal Denzel","Invisible Man, Got the Whole World Watching: A Young Black Man's Education",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Smith, Niki",The Deep & Dark Blue,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Smyth, Ciara",Not My Problem,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Smyth, Ciara",Not My Problem,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Smyth, Ciara",The Falling in Love Montage,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Snyder, Dianne",The Boy of the Three-Year Nap,Banned Pending Investigation,,"Say, Allen",,Florida,Duval County Public Schools,January 2022,Administrator
"Solomon, Akiba",How We Fight White Supremacy,Banned in Classrooms,"Rankin, Kenrya",,,Pennsylvania,Central York School District,August 2021,Administrator
"Solomon, Andrew",Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,Banned Pending Investigation,"Calkhoven, Laurie",,,Tennessee,Collierville Schools,February 2022,Administrator
"Solomon, Andrew",Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,Banned Pending Investigation,"Calkhoven, Laurie",,,Texas,North East Independent School District,December 2021,Administrator
"Solomon, Andrew","Far From the Tree: Parents, Children and the Search for Identity",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sommer, Carl",SEX: If You're Scared of The Truth Don't Read This!,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Sommer, Carl",SEX: If You're Scared of The Truth Don't Read This!,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Sones, Sonya",One of Those Hideous Books Where the Mother Dies,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Sones, Sonya",One of Those Hideous Books Where the Mother Dies,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sones, Sonya",The Opposite of Innocent,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Sones, Sonya",The Opposite of Innocent,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administrator
"Sones, Sonya",The Opposite of Innocent,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator
"Sones, Sonya",What My Mother Doesn't Know (What My Mother Doesn't Know Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Sorell, Traci",At the Mountain's Base,Banned Pending Investigation,,"Alvitre, Weshoyot",,Florida,Duval County Public Schools,January 2022,Administrator
"Sorell, Traci",We Are Grateful: Otsaliheliga,Banned Pending Investigation,,"Lessac, Frane",,Florida,Duval County Public Schools,January 2022,Administrator
"Sorell, Traci",We Are Grateful: Otsaliheliga,Banned in Classrooms,,"Lessac, Frane",,Pennsylvania,Central York School District,August 2021,Administrator
"Soto, Gary",Too Many Tamales,Banned in Classrooms,,"Martinez, Ed",,Pennsylvania,Central York School District,August 2021,Administrator
"Sotomayor, Sonia","¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú",Banned in Classrooms,,"López, Rafael","Mlawer, Teresa",Pennsylvania,Central York School District,August 2021,Administrator
"Spalding, Amy",The Summer of Jordi Perez,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Spalding, Amy",The Summer of Jordi Perez (And the Best Burger in Los Angeles),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Spalding, Amy",We Used to Be Friends,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Spangler, Brie",Beast,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sparks, Beatrice",Go Ask Alice,Banned Pending Investigation,Anonymous,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Specksgoor, Meg",I Am Water,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Spiegelman, Art",Maus 1: A Survivor's Tale: My Father Bleeds History,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Spiegelman, Art",Maus 1: A Survivor's Tale: My Father Bleeds History,Banned in Classrooms,,,,Tennessee,McMinn County Schools,January 2022,Administrator
"Spiegelman, Art",Maus 1: A Survivor's Tale: My Father Bleeds History,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administrator
"Spiegelman, Art",Maus II: A Survivor's Tale: And Here My Troubles Began,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administrator
"St. James, James",Freak Show,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Stamper, Phil",As Far As You'll Take Me,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Stamper, Phil",As Far As You'll Take Me,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Stamper, Phil",The Gravity of Us,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Stamper, Phil",The Gravity of Us,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Stamper, Phil",The Gravity of Us (The Gravity of Us Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Stanborough, Rebecca J.",25 Women Who Ruled,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Stanley, Stan",Bright World (The Hazards of Love Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,Banned in Libraries and Classrooms,,,"Siegel, Alexis",Florida,Indian River County School District,November 2021,Administrator
"Stead, Rebecca",The List of Things That Will Not Change,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Steele, Claude M.",Whistling Vivaldi: And Other Clues to How Stereotypes Affect Us,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Steele, Hamish",The Watcher's Test (Deadendia Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Stein, Garth",The Art of Racing in the Rain,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Steinbeck, John",Of Mice and Men,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Steinbeck, John",Of Mice and Men,Banned in Libraries and Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Steinbeck, John",Of Mice and Men,Banned in Classrooms,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge
"Steptoe, Javaka",Radiant Child: The Story of Young Artist Jean-Michel Basquiat,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Steptoe, Javaka",Radiant Child: The Story of Young Artist Jean-Michel Basquiat,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Sterling, Isabel",The Coldest Touch,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Sterling, Isabel",These Witches Don't Burn (These Witches Don't Burn Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Steven, Laura",The Exact Opposite of Okay (Izzy O'Neill Series),Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator
"Stevenson, Howard C.",Promoting Racial Literacy in Schools: Differences That Make a Difference,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Stevenson, Noelle",The Fire Never Goes Out: A Memoir in Pictures,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Stevenson, Robin",Big Guy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Stevenson, Robin",En el bosque,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
